code,poor215,temp,indexagri,rule_of_law_pct,z_poor,z_temp,z_agri,z_rule,risk_score,rank,label_name
MDA,.0267108,12.579952,10.27091924,36,-.70409173,-.76154155,-.099965721,-.37559506,-1.1900039,81,
PAN,2.198753551282051,19.791245,2.248462434999996,50.476189,-.5966801,.32743049,-.85347682,.14213449,-1.2648609,82,
MEX,3.023145093749999,13.743455,3.383800382999995,29.36508,-.55591238,-.58584183,-.74683994,-.6128878,-1.2757063,83,
SYC,.8708980833333334,22.144527,2.032330115,59.587524,-.66234505,.68279803,-.87377709,.46799427,-1.3213184,84,
PER,4.943352684000002,11.297289,6.863983464000032,34.081635,-.46095452,-.9552356,-.41996294,-.44420391,-1.3919492,85,
BLR,0,9.5691633,6.590107726000006,19.523809,-.70541263,-1.2161986,-.44568679,-.96485311,-1.4024448,86,
XKX,.9081766666666669,13.500294,6.531164332999998,37.660332,-.66050154,-.62256145,-.45122308,-.31621459,-1.4180715,87,
ARM,.9863124545454547,10.908859,13.94231166000001,47.3545,-.65663761,-1.0138921,.24487066,.030489732,-1.4561487,88,
CPV,4.831911285714286,19.501917,5.291984295,70.476189,-.4664655,.28373933,-.5676133,.85741884,-1.6077583,89,
KGZ,1.317686866666667,4.0051403,11.67528648,17.047619,-.6402505,-2.0564177,.031939793,-1.0534122,-1.6113162,90,
BTN,1.636230825,12.297792,15.99124824,67.421196,-.62449789,-.80415028,.43731749,.74815941,-1.73949,91,
BIH,.0452271666666667,12.920186,5.88543924,41.9132,-.70317602,-.71016306,-.51187295,-.16411409,-1.7610979,92,
GRC,1.489636357142857,16.836658,3.635408491000003,59.614079,-.63174731,-.11873941,-.72320759,.46894398,-1.9426383,93,
CRI,2.104879933333333,17.764807,4.483828337000003,67.619049,-.60132235,.021419583,-.64351958,.75523549,-1.9786578,94,
MNE,2.39018765,12.879024,6.732237788999998,54.015568,-.58721334,-.71637899,-.43233719,.26871762,-2.0046473,95,
BGR,1.495100071428571,13.68048,3.384615451999999,51.230377,-.63147712,-.59535164,-.74676341,.16910745,-2.1426997,96,
